280;3F;KTN;CGA;;0;DHP
281;3F;KTN;HYL;;0;DHP
282;3F;KTN;KTB;;0;DHP
283;3F;KTN;MTM;;0;DHP
284;3F;MTM;KTN;;0;DHP
285;3G;ACC;DKR;;0;319
286;3G;ACC;LOS;;0;319
287;3G;ACC;ROB;;0;319
288;3G;BCN;BJL;;0;319
289;3G;BJL;BCN;;0;319
290;3G;BJL;DKR;;0;319
291;3G;BJL;FNA;;0;319
292;3G;CKY;OXB;;0;319
293;3G;DKR;ACC;;0;319
294;3G;DKR;BJL;;0;319
295;3G;DKR;DLA;;0;319
296;3G;DKR;FNA;;0;319
297;3G;DKR;LOS;;0;319
298;3G;DKR;OXB;;0;319
299;3G;DLA;DKR;;0;319
300;3G;DLA;LOS;;0;319
301;3G;FNA;BJL;;0;319
302;3G;FNA;DKR;;0;319
303;3G;FNA;LGW;;0;319
304;3G;FNA;ROB;;0;319
305;3G;LGW;FNA;;0;319
306;3G;LOS;ACC;;0;319
307;3G;LOS;DKR;;0;319
308;3G;LOS;DLA;;0;319
309;3G;LOS;ROB;;0;319
310;3G;OXB;CKY;;0;319
311;3G;OXB;DKR;;0;319
312;3G;ROB;ACC;;0;319
313;3G;ROB;FNA;;0;319
314;3G;ROB;LOS;;0;319
315;3H;AKV;YIK;;0;DH8
316;3H;AKV;YPX;;0;DH8
317;3H;XGR;YVP;;0;DHTBET
318;3H;YGL;YGW;;0;DHT
319;3H;YGL;YPX;;0;73M
320;3H;YGL;YUL;;0;73M
321;3H;YGW;YGL;;0;DHT
322;3H;YGW;YPH;;0;BET
323;3H;YGW;YSK;;0;DH8
324;3H;YGW;YUD;;0;DH8
325;3H;YGW;YUL;;0;DH8
326;3H;YGW;YUY;;0;DH8
327;3H;YIK;AKV;;0;DH8
328;3H;YIK;YZG;;0;DH8
329;3H;YKG;YPJ;;0;DHTDH8
330;3H;YKG;YQC;;0;DH8
331;3H;YKG;YVP;;0;DH8DHT
332;3H;YKL;YQB;;0;DH8
333;3H;YKL;YVP;;0;DH8BET
334;3H;YKL;YWK;;0;BET
335;3H;YKL;YZV;;0;BETDH8
336;3H;YPH;YPX;;0;DH8BET
337;3H;YPH;YUD;;0;DH8
338;3H;YPH;YVP;;0;BET
339;3H;YPJ;YKG;;0;DHTDH8
340;3H;YPJ;YTQ;;0;DHTDH8
341;3H;YPJ;YVP;;0;DHT
342;3H;YPX;AKV;;0;DH8
343;3H;YPX;YGL;;0;73M
344;3H;YPX;YPH;;0;DH8
345;3H;YPX;YVP;;0;BET
346;3H;YQB;YKL;;0;DH8
347;3H;YQB;YUL;;0;DH8
348;3H;YQC;YKG;;0;DH8
349;3H;YQC;YWB;;0;DH8
350;3H;YSK;YGW;;0;DH8
351;3H;YSK;YUD;;0;DH8
352;3H;YTQ;YPJ;;0;DHTDH8
353;3H;YTQ;YVP;;0;DHTDH8
354;3H;YUD;YGW;;0;DH8
355;3H;YUD;YPH;;0;DH8
356;3H;YUD;YSK;;0;DH8
357;3H;YUL;YGL;;0;73M
358;3H;YUL;YGW;;0;DH8
359;3H;YUL;YQB;;0;DH8
360;3H;YUL;YUY;;0;DH8
361;3H;YUY;YGW;;0;DH8
362;3H;YUY;YUL;;0;DH8
363;3H;YVP;XGR;;0;DHTBET
364;3H;YVP;YGW;;0;BET
365;3H;YVP;YKG;;0;DH8
366;3H;YVP;YKL;;0;DH8BET
367;3H;YVP;YPH;;0;BET
368;3H;YVP;YPJ;;0;DHT
369;3H;YVP;YPX;;0;BET
370;3H;YVP;YTQ;;0;DHTDH8
371;3H;YWB;YQC;;0;DH8
372;3H;YWB;YZG;;0;DH8
373;3H;YWK;YKL;;0;BET
374;3H;YWK;YZV;;0;BET
375;3H;YZG;YIK;;0;DH8
376;3H;YZG;YWB;;0;DH8
377;3H;YZV;YKL;;0;BETDH8
378;3H;YZV;YWK;;0;BET
379;3J;JIB;DXB;;0;737
380;3J;JIB;JED;;0;737
381;3J;JIB;MGQ;;0;737
382;3J;MGQ;NBO;;0;737
383;3J;NBO;MGQ;;0;737
384;3K;BKK;SIN;;0;320
385;3K;DRW;SIN;;0;320
386;3K;HAK;SIN;;0;320
387;3K;HGH;SIN;;0;320
388;3K;HKG;SIN;;0;320
389;3K;HKT;SIN;;0;320
390;3K;KIX;MNL;;0;320
391;3K;KIX;TPE;;0;320
392;3K;KUL;SIN;;0;320
393;3K;MNL;KIX;;0;320
394;3K;MNL;SIN;;0;320
395;3K;PEN;SIN;;0;320
396;3K;PER;SIN;;0;320
397;3K;PNH;SIN;;0;320
398;3K;REP;SIN;;0;320
399;3K;RGN;SIN;;0;320
400;3K;SGN;SIN;;0;320
401;3K;SIN;BKK;;0;320
402;3K;SIN;DRW;;0;320
403;3K;SIN;HAK;;0;320
404;3K;SIN;HGH;;0;320
405;3K;SIN;HKG;;0;320
406;3K;SIN;HKT;;0;320
407;3K;SIN;KUL;;0;320
408;3K;SIN;MNL;;0;320
409;3K;SIN;PEN;;0;320
410;3K;SIN;PER;;0;320
411;3K;SIN;PNH;;0;320
412;3K;SIN;REP;;0;320
413;3K;SIN;RGN;;0;320
414;3K;SIN;SGN;;0;320
415;3K;SIN;SWA;;0;320
416;3K;SIN;TPE;;0;320
417;3K;SWA;SIN;;0;320
418;3K;TPE;KIX;;0;320
419;3K;TPE;SIN;;0;320
420;3L;ACH;EBA;;0;DH3
421;3L;DRS;ZRH;;0;DH3
422;3L;DUS;FDH;;0;DH3
423;3L;EBA;ACH;;0;DH3
424;3L;EBA;FDH;;0;DH3
425;3L;EBA;MUC;;0;DH3
426;3L;EBA;ZRH;;0;DH3
427;3L;FDH;DUS;;0;DH3
428;3L;FDH;EBA;;0;DH3
429;3L;FDH;HAM;;0;AT7
430;3L;FDH;OLB;;0;AT7
431;3L;FDH;TXL;;0;AT7
432;3L;FDH;ZAD;;0;AT7
433;3L;FMM;NAP;;0;AT7
434;3L;GRZ;ZRH;;0;DH3
435;3L;HAM;FDH;;0;AT7
436;3L;MUC;EBA;;0;DH3
437;3L;NAP;FMM;;0;AT7
438;3L;OLB;FDH;;0;AT7
439;3L;SZG;ZRH;;0;DH3
440;3L;TXL;FDH;;0;AT7
441;3L;ZAD;FDH;;0;AT7
442;3L;ZRH;DRS;;0;DH3
443;3L;ZRH;EBA;;0;DH3
444;3L;ZRH;GRZ;;0;DH3
445;3L;ZRH;SZG;;0;DH3
446;3M;ATL;LWB;;0;SF3
447;3M;ATL;MCN;;0;SF3
448;3M;ATL;MEI;;0;SF3
449;3M;ATL;MSL;;0;SF3
450;3M;ATL;PIB;;0;SF3
451;3M;ATL;TUP;;0;SF3
452;3M;BIM;FLL;;0;SF3
453;3M;ELH;FLL;;0;SF3
454;3M;ELH;PBI;;0;SF3
455;3M;EYW;FLL;;0;SF3
456;3M;EYW;RSW;;0;SF3
457;3M;EYW;TPA;;0;SF3
458;3M;FLL;BIM;;0;SF3
459;3M;FLL;ELH;;0;SF3
460;3M;FLL;EYW;;0;SF3
461;3M;FLL;FPO;;0;SF3
462;3M;FLL;GGT;;0;SF3
463;3M;FLL;GHB;;0;SF3
464;3M;FLL;MCO;;0;SF3
465;3M;FLL;MHH;;0;SF3
466;3M;FLL;TCB;;0;SF3
467;3M;FLL;TPA;;0;SF3
468;3M;FPO;FLL;;0;SF3
469;3M;GGT;FLL;;0;SF3
470;3M;GGT;GHB;;0;SF3
471;3M;GHB;FLL;;0;SF3
472;3M;GLH;TUP;;0;SF3
473;3M;GNV;MCO;;0;SF3
474;3M;GNV;TPA;;0;SF3
475;3M;JAX;MHH;;0;SF3
476;3M;JAX;TPA;;0;SF3
477;3M;LWB;ATL;;0;SF3
478;3M;MCN;ATL;;0;SF3
479;3M;MCN;MCO;;0;SF3
480;3M;MCO;FLL;;0;SF3
481;3M;MCO;GNV;;0;SF3
482;3M;MCO;MCN;;0;SF3
483;3M;MCO;MHH;;0;SF3
484;3M;MCO;PNS;;0;SF3
485;3M;MCO;RSW;;0;SF3
486;3M;MCO;TLH;;0;SF3
487;3M;MEI;ATL;;0;SF3
488;3M;MHH;FLL;;0;SF3
489;3M;MHH;JAX;;0;SF3
490;3M;MHH;MCO;;0;SF3
491;3M;MHH;PBI;;0;SF3
492;3M;MSL;ATL;;0;SF3
493;3M;PBI;ELH;;0;SF3
494;3M;PBI;MHH;;0;SF3
495;3M;PBI;TPA;;0;SF3
496;3M;PIB;ATL;;0;SF3
497;3M;PNS;MCO;;0;SF3
498;3M;PNS;TPA;;0;SF3
